Timestamp,Interface,Upload Speed (Mbps),Download Speed (Mbps)
2024-07-02 16:57:07,Wi-Fi,0.00,0.00
2024-07-02 16:57:08,Wi-Fi,0.10,1.40
2024-07-02 16:57:09,Wi-Fi,0.16,3.23
2024-07-02 16:57:10,Wi-Fi,0.18,3.09
2024-07-02 16:57:11,Wi-Fi,0.19,3.42
2024-07-02 16:57:12,Wi-Fi,0.29,2.85
2024-07-02 16:57:13,Wi-Fi,0.18,3.24
2024-07-02 16:57:14,Wi-Fi,0.00,0.00
2024-07-02 16:57:54,Wi-Fi,0.04,1.20
2024-07-02 16:57:55,Wi-Fi,0.38,2.97
2024-07-02 16:57:56,Wi-Fi,0.12,2.17
2024-07-02 16:57:57,Wi-Fi,0.12,2.85
2024-07-02 16:57:58,Wi-Fi,0.15,3.25
2024-07-02 16:57:59,Wi-Fi,0.16,3.01
2024-07-02 16:58:00,Wi-Fi,0.04,0.61
2024-07-02 16:58:01,Wi-Fi,0.03,0.55
2024-07-02 16:58:02,Wi-Fi,0.00,0.15
2024-07-02 16:59:00,Wi-Fi,0.00,0.00
2024-07-02 16:59:01,Wi-Fi,0.01,0.77
2024-07-02 16:59:02,Wi-Fi,0.15,2.70
2024-07-02 16:59:03,Wi-Fi,0.11,3.18
2024-07-02 16:59:04,Wi-Fi,0.14,3.16
2024-07-02 16:59:05,Wi-Fi,0.17,2.97
2024-07-02 16:59:06,Wi-Fi,0.15,3.09
2024-07-02 16:59:07,Wi-Fi,0.04,0.81
2024-07-02 16:59:08,Wi-Fi,0.02,0.04
2024-07-02 16:59:40,Wi-Fi,0.00,0.00
2024-07-02 16:59:41,Wi-Fi,0.05,1.02
2024-07-02 16:59:42,Wi-Fi,0.15,3.10
2024-07-02 16:59:43,Wi-Fi,0.16,3.00
2024-07-02 16:59:44,Wi-Fi,0.21,3.19
2024-07-02 16:59:45,Wi-Fi,0.22,2.96
2024-07-02 16:59:46,Wi-Fi,0.20,3.11
2024-07-02 16:59:47,Wi-Fi,0.06,0.65
2024-07-02 17:00:27,Wi-Fi,0.00,0.01
2024-07-02 17:00:28,Wi-Fi,0.01,0.48
2024-07-02 17:00:29,Wi-Fi,0.19,3.20
2024-07-02 17:00:30,Wi-Fi,0.16,3.15
2024-07-02 17:00:31,Wi-Fi,0.21,3.12
2024-07-02 17:00:32,Wi-Fi,0.19,3.28
2024-07-02 17:00:33,Wi-Fi,0.29,3.62
2024-07-02 17:00:34,Wi-Fi,0.06,1.26
2024-07-02 17:00:35,Wi-Fi,0.01,0.01
2024-07-02 17:01:23,Wi-Fi,0.01,0.01
2024-07-02 17:01:24,Wi-Fi,0.08,1.01
2024-07-02 17:01:25,Wi-Fi,0.14,2.87
2024-07-02 17:01:26,Wi-Fi,0.21,3.20
2024-07-02 17:01:27,Wi-Fi,0.31,3.07
2024-07-02 17:01:28,Wi-Fi,0.22,2.81
2024-07-02 17:01:29,Wi-Fi,0.14,2.93
2024-07-02 17:01:30,Wi-Fi,0.00,0.03
2024-07-02 17:02:10,Wi-Fi,0.00,0.00
2024-07-02 17:02:11,Wi-Fi,0.02,0.93
2024-07-02 17:02:12,Wi-Fi,0.14,3.11
2024-07-02 17:02:13,Wi-Fi,0.14,2.91
2024-07-02 17:02:14,Wi-Fi,0.13,2.97
2024-07-02 17:02:15,Wi-Fi,0.19,2.85
2024-07-02 17:02:16,Wi-Fi,0.23,2.46
2024-07-02 17:02:17,Wi-Fi,0.02,0.48
2024-07-02 17:02:18,Wi-Fi,0.00,0.00
2024-07-02 17:02:55,Wi-Fi,0.00,0.01
2024-07-02 17:02:56,Wi-Fi,0.01,0.00
2024-07-02 17:02:57,Wi-Fi,0.08,1.64
2024-07-02 17:02:58,Wi-Fi,0.13,2.84
2024-07-02 17:02:59,Wi-Fi,0.14,2.92
2024-07-02 17:03:00,Wi-Fi,0.12,2.92
2024-07-02 17:03:01,Wi-Fi,0.23,2.97
2024-07-02 17:03:02,Wi-Fi,0.20,2.50
2024-07-02 17:03:03,Wi-Fi,0.03,0.06
2024-07-02 17:03:44,Wi-Fi,0.00,0.00
2024-07-02 17:03:45,Wi-Fi,0.03,0.92
2024-07-02 17:03:46,Wi-Fi,0.12,2.84
2024-07-02 17:03:47,Wi-Fi,0.12,2.77
2024-07-02 17:03:49,Wi-Fi,0.12,2.84
2024-07-02 17:03:50,Wi-Fi,0.18,2.79
2024-07-02 17:03:51,Wi-Fi,0.17,2.54
2024-07-02 17:03:52,Wi-Fi,0.02,0.42
2024-07-02 17:04:33,Wi-Fi,0.00,0.00
2024-07-02 17:04:34,Wi-Fi,0.09,0.99
2024-07-02 17:04:35,Wi-Fi,0.14,2.93
2024-07-02 17:04:36,Wi-Fi,0.20,2.98
2024-07-02 17:04:37,Wi-Fi,0.21,2.95
2024-07-02 17:04:38,Wi-Fi,0.16,3.18
2024-07-02 17:04:39,Wi-Fi,0.13,3.35
2024-07-02 17:04:40,Wi-Fi,0.01,0.20
